iter	MultiClass
0	2.335875574
1	2.276372711
2	2.232731357
3	2.190680341
4	2.149404445
5	2.116130435
6	2.093955144
7	2.069692584
8	2.045991023
9	2.027444078
10	2.00309883
11	1.986906344
12	1.969369429
13	1.954870321
14	1.941349569
15	1.929209481
16	1.918147816
17	1.905868483
18	1.892720838
19	1.88527007
20	1.874741095
21	1.868743481
22	1.859534184
23	1.84885627
24	1.836846365
25	1.830116837
26	1.823249967
27	1.816553956
28	1.813010798
29	1.807846479
30	1.80205978
31	1.792728617
32	1.784789159
33	1.777489889
34	1.770082935
35	1.761954619
36	1.759601295
37	1.755831026
38	1.750643327
39	1.742786158
40	1.739069263
41	1.731973724
42	1.725858636
43	1.723732936
44	1.721747646
45	1.715367367
46	1.708539765
47	1.706986365
48	1.704196246
49	1.700562784
50	1.695789626
51	1.692108128
52	1.690150827
53	1.686456838
54	1.683156408
55	1.680724149
56	1.677419114
57	1.675446847
58	1.670119189
59	1.66568783
60	1.662020354
61	1.65948755
62	1.65571227
63	1.652942959
64	1.649968774
65	1.647579926
66	1.64617301
67	1.643960297
68	1.642186531
69	1.637265992
70	1.63239996
71	1.629569725
72	1.627776131
73	1.625244822
74	1.623079948
75	1.619456196
76	1.61419252
77	1.610248114
78	1.60679375
79	1.602840708
80	1.600181124
81	1.597002198
82	1.594471782
83	1.59263343
84	1.59057627
85	1.587017796
86	1.583928469
87	1.579536936
88	1.578709233
89	1.57448193
90	1.571575842
91	1.569553378
92	1.567994766
93	1.566369079
94	1.563530556
95	1.560516671
96	1.55735362
97	1.552228385
98	1.547707773
99	1.544716646
100	1.542369635
101	1.537604369
102	1.535148365
103	1.53018937
104	1.525653288
105	1.521543061
106	1.517817594
107	1.512941711
108	1.508108146
109	1.503974967
110	1.500393567
111	1.497192708
112	1.493044605
113	1.489053427
114	1.486900786
115	1.482325882
116	1.479754752
117	1.477902706
118	1.47502821
119	1.470662903
120	1.465040198
121	1.462856334
122	1.460139252
123	1.457654873
124	1.455373054
125	1.451517172
126	1.448619239
127	1.445364289
128	1.439719126
129	1.437003009
130	1.434724243
131	1.431953614
132	1.430209454
133	1.428635324
134	1.423373912
135	1.418169395
136	1.41354201
137	1.40871815
138	1.405409157
139	1.402069015
140	1.400804289
141	1.398654778
142	1.396512228
143	1.395154017
144	1.390043088
145	1.385101303
146	1.380702071
147	1.378985015
148	1.377154251
149	1.373409593
150	1.371004865
151	1.36813672
152	1.363374191
153	1.360518868
154	1.358746694
155	1.356532333
156	1.35242175
157	1.349274392
158	1.344699205
159	1.343077742
160	1.341048944
161	1.338505851
162	1.335137478
163	1.333349647
164	1.329237256
165	1.328239466
166	1.326729052
167	1.324634006
168	1.320845747
169	1.317290466
170	1.314607592
171	1.31304592
172	1.309134702
173	1.305735938
174	1.302690936
175	1.298090651
176	1.295346588
177	1.294372093
178	1.292160182
179	1.29057149
180	1.285527224
181	1.282965176
182	1.278389415
183	1.276451763
184	1.273022932
185	1.27150769
186	1.268100085
187	1.264445071
188	1.263783956
189	1.262018313
190	1.258503276
191	1.254257447
192	1.250992036
193	1.247770843
194	1.244388907
195	1.242144019
196	1.239938922
197	1.238395196
198	1.237337404
199	1.235303915
200	1.231571453
201	1.229004525
202	1.228156324
203	1.225575588
204	1.223914646
205	1.221374793
206	1.218117744
207	1.21476086
208	1.21260073
209	1.211028315
210	1.209998221
211	1.20748149
212	1.203538373
213	1.201375123
214	1.198936454
215	1.196055492
216	1.193269436
217	1.191509634
218	1.188574685
219	1.185136421
220	1.183462233
221	1.181149845
222	1.179855378
223	1.17877491
224	1.17754412
225	1.175022664
226	1.174081828
227	1.172894862
228	1.170889746
229	1.167727018
230	1.164799824
231	1.162843043
232	1.162237357
233	1.160790971
234	1.159053071
235	1.158514283
236	1.156477641
237	1.153966517
238	1.151012579
239	1.148299543
240	1.146916417
241	1.145423747
242	1.14256083
243	1.139345208
244	1.138164987
245	1.135174346
246	1.1317725
247	1.128997227
248	1.125981686
249	1.122644589
250	1.119215214
251	1.118074525
252	1.116184708
253	1.115507699
254	1.113345483
255	1.112972798
256	1.11019033
257	1.107472874
258	1.104976759
259	1.102741007
260	1.099474175
261	1.098142177
262	1.096883368
263	1.094172025
264	1.092623098
265	1.090894084
266	1.089012398
267	1.08852971
268	1.087425842
269	1.084999738
270	1.082457342
271	1.080385447
272	1.079633218
273	1.076424428
274	1.073601227
275	1.071748934
276	1.069314494
277	1.066994639
278	1.064686017
279	1.063095137
280	1.060428847
281	1.057999374
282	1.054940097
283	1.05366669
284	1.053160727
285	1.051191744
286	1.048414368
287	1.046616352
288	1.0451487
289	1.043842431
290	1.042920498
291	1.04142559
292	1.039258537
293	1.038072067
294	1.036396195
295	1.033997585
296	1.033385966
297	1.031388173
298	1.030177881
299	1.027770849
300	1.02696634
301	1.024486056
302	1.022677821
303	1.020097306
304	1.018266311
305	1.016561402
306	1.014500957
307	1.012012609
308	1.011043709
309	1.010194227
310	1.008745006
311	1.006037458
312	1.00461427
313	1.004049856
314	1.003478162
315	1.002201258
316	1.001003377
317	0.9979366242
318	0.9963792029
319	0.9953463108
320	0.994655521
321	0.9938482062
322	0.9927628542
323	0.9918731681
324	0.9900039882
325	0.9878023452
326	0.9856117295
327	0.9848248928
328	0.9840412165
329	0.9822176065
330	0.980716119
331	0.9784298951
332	0.9767488838
333	0.9743783951
334	0.972699222
335	0.9713251574
336	0.9701595251
337	0.9680002415
338	0.9663200077
339	0.9654110706
340	0.9642123063
341	0.9624987826
342	0.9606597842
343	0.9599882259
344	0.9588401537
345	0.9583369386
346	0.9566766147
347	0.9553102335
348	0.9533657566
349	0.9504984541
350	0.949720674
351	0.9491160361
352	0.946549826
353	0.9454564044
354	0.9437470703
355	0.9423892848
356	0.9412913598
357	0.9394316148
358	0.9379613178
359	0.9367080977
360	0.9355186441
361	0.9348055922
362	0.9334843292
363	0.9317447825
364	0.9292454969
365	0.9279460408
366	0.9250577823
367	0.9223601469
368	0.9208843447
369	0.9181050212
370	0.9157544653
371	0.9153279551
372	0.9144220696
373	0.9134738014
374	0.9113330283
375	0.9090917165
376	0.9083455993
377	0.9072296111
378	0.9052510357
379	0.904154016
380	0.9034502112
381	0.9026361601
382	0.9006332781
383	0.8975101862
384	0.8967269893
385	0.8957456049
386	0.8945301448
387	0.8930481326
388	0.8923589242
389	0.8919203755
390	0.8910228651
391	0.8887326295
392	0.8881069808
393	0.8856894709
394	0.8829879009
395	0.8809521026
396	0.8801339433
397	0.8785819128
398	0.8762856823
399	0.8750639871
400	0.873131972
401	0.8711991804
402	0.87005959
403	0.8683461928
404	0.867835407
405	0.8656185343
406	0.8636484833
407	0.8617192431
408	0.860004517
409	0.8581536994
410	0.8564588063
411	0.8557823537
412	0.8540654448
413	0.8523695
414	0.8518202794
415	0.8508263306
416	0.8497806406
417	0.8482694966
418	0.8466074413
419	0.845901515
420	0.8442778286
421	0.8428812019
422	0.8411253821
423	0.8396649445
424	0.83888552
425	0.8371319971
426	0.8363386423
427	0.8355620778
428	0.8348455194
429	0.8337302684
430	0.8325972328
431	0.8311489068
432	0.8305719768
433	0.8290388017
434	0.8276761439
435	0.8266129244
436	0.8254519766
437	0.8230467101
438	0.8213476767
439	0.8196265309
440	0.8173663324
441	0.8155856244
442	0.8139798696
443	0.8122036114
444	0.810825737
445	0.8089031863
446	0.8077355697
447	0.8063780935
448	0.8057253653
449	0.8040323706
450	0.8027684518
451	0.8013502118
452	0.8010872118
453	0.8001681249
454	0.7989014624
455	0.7975291074
456	0.7964357611
457	0.7960386735
458	0.7951294608
459	0.7931324545
460	0.792055882
461	0.7898436638
462	0.7882551703
463	0.7875161612
464	0.785350896
465	0.7833982987
466	0.7822731075
467	0.7811392212
468	0.7801825584
469	0.7788118081
470	0.7780572211
471	0.7764554434
472	0.7747688567
473	0.7738004321
474	0.7718527173
475	0.7703931929
476	0.7696737095
477	0.7683766739
478	0.7682195316
479	0.767337988
480	0.7658617013
481	0.7651788754
482	0.7630605099
483	0.7606887232
484	0.7604982238
485	0.7586692716
486	0.757496718
487	0.7559288364
488	0.7548796401
489	0.7532650569
490	0.7528461231
491	0.752326593
492	0.751818094
493	0.7499940701
494	0.748400619
495	0.7480224356
496	0.7464719595
497	0.7451167153
498	0.744697833
499	0.7436733563
500	0.7427159113
501	0.7417596322
502	0.7415313678
503	0.7413704789
504	0.7392266245
505	0.7384141526
506	0.7369685656
507	0.7359951698
508	0.7353834997
509	0.7346381819
510	0.73328417
511	0.7319853309
512	0.7307854141
513	0.7300551591
514	0.7283573457
515	0.727022372
516	0.7263291181
517	0.7258383356
518	0.7254377332
519	0.7239845019
520	0.722696703
521	0.7212628625
522	0.7209407142
523	0.7200106558
524	0.7194060663
525	0.7186227208
526	0.7173380603
527	0.7156451064
528	0.714878355
529	0.7140336052
530	0.7125911591
531	0.7115201131
532	0.7099305414
533	0.7086312077
534	0.7075093349
535	0.7058772339
536	0.7052852626
537	0.7044238711
538	0.7028107582
539	0.7021283953
540	0.701151608
541	0.7004817363
542	0.6995565462
543	0.6988379291
544	0.6975683461
545	0.6967094705
546	0.6956624762
547	0.6951290494
548	0.6947060765
549	0.6933480885
550	0.6918904518
551	0.6904325561
552	0.6886748715
553	0.6876542076
554	0.6870125238
555	0.6860944219
556	0.6850795268
557	0.683955974
558	0.6829677801
559	0.6820412525
560	0.6804418908
561	0.6794110361
562	0.6787187595
563	0.677044715
564	0.6761900572
565	0.6758713924
566	0.6741100565
567	0.6733302758
568	0.6726915341
569	0.6723021567
570	0.6709017461
571	0.6693305164
572	0.6680313198
573	0.6668738143
574	0.6663992902
575	0.6658190697
576	0.6643640113
577	0.6631944895
578	0.6624194392
579	0.6620159546
580	0.660972641
581	0.660042404
582	0.6594015636
583	0.6582721883
584	0.6575786187
585	0.6565381806
586	0.6560256448
587	0.6556364647
588	0.6544431368
589	0.6538979002
590	0.6531627462
591	0.6525658888
592	0.6512698057
593	0.6502261221
594	0.6492088363
595	0.6478506653
596	0.6463327874
597	0.6446029164
598	0.6432546493
599	0.6419359118
600	0.6410278536
601	0.6395326196
602	0.6386521141
603	0.6377130071
604	0.6373451227
605	0.636587734
606	0.6360601477
607	0.6356603484
608	0.6348840224
609	0.6334334455
610	0.6327962918
611	0.6310405802
612	0.6304690878
613	0.6299239469
614	0.6292065959
615	0.6284686534
616	0.6268588541
617	0.625624521
618	0.6250417332
619	0.6239961428
620	0.6228349549
621	0.6219873333
622	0.6204103793
623	0.6196150981
624	0.6187039811
625	0.6181987606
626	0.6177365654
627	0.6166616809
628	0.6157297699
629	0.614946052
630	0.6138728884
631	0.6128606127
632	0.6122631646
633	0.6113145462
634	0.6104679737
635	0.6092025333
636	0.608561261
637	0.6079991576
638	0.6076637913
639	0.6067720779
640	0.6060621079
641	0.6057232627
642	0.6052503814
643	0.6045310871
644	0.6033477032
645	0.6025623532
646	0.601781102
647	0.6011693194
648	0.6008484368
649	0.5996210041
650	0.5988568366
651	0.5978813581
652	0.5969954759
653	0.5966440373
654	0.5959329873
655	0.5952819587
656	0.594970148
657	0.5943401887
658	0.5937677414
659	0.5929204261
660	0.5920254197
661	0.5916994242
662	0.5912536765
663	0.5905779684
664	0.5894070247
665	0.5888753244
666	0.5875955893
667	0.5870956792
668	0.5867857691
669	0.5853548484
670	0.5844617423
671	0.5835793094
672	0.5828624725
673	0.5823997077
674	0.5809348663
675	0.5799041979
676	0.5790897925
677	0.5784284462
678	0.5778322315
679	0.5769973008
680	0.5765358681
681	0.5759080909
682	0.57551844
683	0.574790568
684	0.5738872652
685	0.5731168599
686	0.5720052139
687	0.5706819819
688	0.5694994195
689	0.5689543111
690	0.5679916418
691	0.5676383674
692	0.5670605155
693	0.5657519741
694	0.5650211941
695	0.5642967972
696	0.5639426044
697	0.563128703
698	0.56220414
699	0.5610651475
700	0.5599052681
701	0.5591751378
702	0.5582873915
703	0.5579113532
704	0.556875908
705	0.5564833259
706	0.556231066
707	0.5551076248
708	0.5546058237
709	0.5538402521
710	0.5528089235
711	0.5517781539
712	0.5504080106
713	0.5495681885
714	0.5490531157
715	0.5476810709
716	0.5471596747
717	0.5462553838
718	0.5457483641
719	0.5451629909
720	0.5449265484
721	0.5436503684
722	0.5434592348
723	0.5428316973
724	0.5420362534
725	0.5416224546
726	0.541397994
727	0.5405068029
728	0.5395949611
729	0.5387959897
730	0.5378947149
731	0.5366506663
732	0.5359370071
733	0.5346644781
734	0.5339414153
735	0.533692358
736	0.5334754031
737	0.5329298509
738	0.5317983751
739	0.530716292
740	0.5296954479
741	0.5293899211
742	0.5286859287
743	0.5274296501
744	0.5269249118
745	0.5266170239
746	0.5261293372
747	0.5253940397
748	0.5246131731
749	0.5240845985
750	0.5239640319
751	0.5232957509
752	0.5227706281
753	0.5220855406
754	0.5216743303
755	0.5208670487
756	0.5203317481
757	0.5190633898
758	0.5187691189
759	0.5178942616
760	0.5176828201
761	0.5168904483
762	0.5164877375
763	0.5157085428
764	0.5153228564
765	0.5147325745
766	0.5144127353
767	0.5138540799
768	0.5130045963
769	0.5120621552
770	0.5108239633
771	0.5105292083
772	0.5098857232
773	0.5092645088
774	0.5085726359
775	0.507782313
776	0.5072304145
777	0.5063740137
778	0.5055266097
779	0.5050698801
780	0.503793912
781	0.5029136545
782	0.5023752525
783	0.5019885535
784	0.5012555596
785	0.5008350493
786	0.5002400674
